_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
21,12273,0,0.985863,124,151,27,0.985463,21,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
22,12477,0,0.984195,124,151,27,0.983525,19,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
23,12751,0,0.989110,124,151,27,0.988721,10,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
24,12989,0,0.987677,125,151,26,0.987439,20,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
25,13203,0,0.988196,125,151,26,0.988018,25,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
26,13428,0,0.989433,125,151,26,0.989257,22,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
27,13668,0,0.989976,125,151,26,0.989830,23,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
28,13890,0,0.990794,125,151,26,0.990658,24,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
29,14111,0,0.990780,126,151,25,0.990632,26,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
30,14311,0,0.990924,126,151,25,0.990727,28,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
31,14510,0,0.991558,126,151,25,0.991426,27,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
32,14723,0,0.990876,126,151,25,0.990736,31,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
33,14913,0,0.990589,126,151,25,0.990456,21,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
34,15157,0,0.991025,126,151,25,0.990918,23,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
35,15364,0,0.990055,126,151,25,0.989947,25,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
36,15518,0,0.990027,126,151,25,0.989919,22,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
37,15691,0,0.990388,126,151,25,0.990281,24,sort.c:1768 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
